id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
general-laberinto,laberinto,,L,empieza,general,general,1,"Lugar de caminos cruzados del que es difícil salir.","Construcción o dibujo con rutas confusas y una salida escondida.","Trazado de bifurcaciones concebido para desorientar a quien lo recorre.",Diccionario de la lengua española,https://dle.rae.es/laberinto
general-ladrillo,ladrillo,,L,empieza,general,general,1,"Pieza rectangular usada para construir paredes.","Bloque de arcilla cocida empleado en albañilería.","Elemento cerámico prismático que unido con mortero forma muros.",Diccionario de la lengua española,https://dle.rae.es/ladrillo
general-laguna,laguna,,L,empieza,general,general,1,"Depósito natural de agua más pequeño que un lago.","Extensión de agua rodeada de tierra y generalmente poco profunda.","Cuerpo de agua continental cuya menor extensión lo distingue habitualmente de un lago.",Diccionario de la lengua española,https://dle.rae.es/laguna
general-lampara,lámpara,lampara,L,empieza,general,general,1,"Objeto que produce o sostiene una luz.","Aparato destinado a iluminar mediante una fuente luminosa.","Dispositivo que transforma energía en luz o sirve de soporte a quien lo hace.",Diccionario de la lengua española,https://dle.rae.es/lámpara
general-lapiz,lápiz,lapiz,L,empieza,general,general,1,"Instrumento para escribir o dibujar que puede borrarse.","Barra de grafito protegida normalmente por una cubierta de madera.","Útil de escritura cuya mina deja sobre el papel un trazo por abrasión.",Diccionario de la lengua española,https://dle.rae.es/lápiz
general-lechuza,lechuza,,L,empieza,general,general,1,"Ave nocturna de grandes ojos y cara redondeada.","Ave rapaz que caza de noche y vuela casi sin ruido.","Estrigiforme de disco facial marcado tradicionalmente asociado con la noche.",Diccionario de la lengua española,https://dle.rae.es/lechuza
general-laburo,laburo,,L,empieza,general,lunfardo|argentinismo,1,"En Argentina trabajo o empleo.","Voz coloquial rioplatense usada como sinónimo de trabajo.","Italianismo incorporado al habla popular argentina para designar una ocupación laboral.",Diccionario de la lengua española,https://dle.rae.es/laburo
general-linyera,linyera,,L,empieza,general,lunfardo|argentinismo,1,"En Argentina persona sin hogar que vive en la calle.","Voz rioplatense para quien lleva una vida errante y carece de residencia estable.","Término popular aplicado históricamente al vagabundo que carga sus pertenencias consigo.",Diccionario de la lengua española,https://dle.rae.es/linyera
general-madera,madera,,M,empieza,general,general,1,"Material duro que forma el tronco y las ramas de los árboles.","Parte sólida de los árboles usada para construir muebles y otros objetos.","Tejido vegetal lignificado que constituye una materia prima estructural y combustible.",Diccionario de la lengua española,https://dle.rae.es/madera
general-maleta,maleta,,M,empieza,general,general,1,"Equipaje con asa donde se lleva ropa al viajar.","Caja o bolsa resistente destinada a transportar efectos personales.","Recipiente portátil que protege y organiza pertenencias durante un desplazamiento.",Diccionario de la lengua española,https://dle.rae.es/maleta
general-manzana,manzana,,M,empieza,general,general,1,"Fruta redonda que puede ser roja verde o amarilla.","Fruto comestible del manzano con piel fina y corazón con semillas.","Pomo de pulpa firme cuyo nombre también designa un bloque urbano.",Diccionario de la lengua española,https://dle.rae.es/manzana
general-martillo,martillo,,M,empieza,general,general,1,"Herramienta usada para golpear clavos.","Instrumento con una cabeza pesada unida a un mango.","Útil de percusión que concentra la fuerza del golpe en una cabeza sólida.",Diccionario de la lengua española,https://dle.rae.es/martillo
general-mercado,mercado,,M,empieza,general,general,1,"Lugar donde se compran y venden productos.","Espacio físico o sistema en el que se encuentran vendedores y compradores.","Ámbito donde la oferta y la demanda intercambian bienes servicios o valores.",Diccionario de la lengua española,https://dle.rae.es/mercado
general-montana,montaña,montana,M,empieza,general,general,1,"Gran elevación natural del terreno.","Formación geográfica que se alza considerablemente sobre el terreno vecino.","Relieve de fuerte desnivel originado por procesos tectónicos volcánicos o erosivos.",Diccionario de la lengua española,https://dle.rae.es/montaña
general-mina,mina,,M,empieza,general,lunfardo|argentinismo,1,"En el habla coloquial argentina mujer.","Voz rioplatense informal para referirse a una mujer.","Término lunfardo que comparte forma con una excavación destinada a extraer minerales.",Diccionario de la lengua española,https://dle.rae.es/mina
general-morfar,morfar,,M,empieza,general,lunfardo|argentinismo,1,"En Argentina comer.","Verbo coloquial rioplatense usado como sinónimo de comer.","Voz lunfarda para ingerir alimentos relacionada con el sustantivo morfi.",Diccionario de la lengua española,https://dle.rae.es/morfar
general-naranja,naranja,,N,empieza,general,general,1,"Fruta cítrica redonda del mismo nombre que su color.","Fruto del naranjo de pulpa dividida en gajos y abundante jugo.","Hesperidio aromático cuyo pigmento dio nombre a un color intermedio entre rojo y amarillo.",Diccionario de la lengua española,https://dle.rae.es/naranja
general-nariz,nariz,,N,empieza,general,general,1,"Parte de la cara usada para oler y respirar.","Órgano situado entre los ojos y la boca que comunica con las vías respiratorias.","Prominencia facial que alberga el inicio del sistema olfativo y filtra el aire inspirado.",Diccionario de la lengua española,https://dle.rae.es/nariz
general-naufragio,naufragio,,N,empieza,general,general,1,"Hundimiento o pérdida de una embarcación en el agua.","Accidente marítimo en el que un barco queda destruido o se hunde.","Siniestro naval que deja una nave sin posibilidad de continuar su viaje.",Diccionario de la lengua española,https://dle.rae.es/naufragio
general-nevera,nevera,,N,empieza,general,general,1,"Electrodoméstico que mantiene fríos los alimentos.","Aparato aislado que conserva comida y bebidas a baja temperatura.","Recinto refrigerado doméstico que retarda el deterioro de productos perecederos.",Diccionario de la lengua española,https://dle.rae.es/nevera
general-niebla,niebla,,N,empieza,general,general,1,"Nube muy baja que dificulta ver.","Conjunto de pequeñas gotas suspendidas cerca del suelo que reduce la visibilidad.","Hidrometeoro formado por condensación atmosférica en contacto con la superficie terrestre.",Diccionario de la lengua española,https://dle.rae.es/niebla
general-nido,nido,,N,empieza,general,general,1,"Lugar que construyen las aves para poner huevos.","Refugio preparado por un animal para criar a sus descendientes.","Estructura de reproducción elaborada con ramas barro u otros materiales según la especie.",Diccionario de la lengua española,https://dle.rae.es/nido
general-nogal,nogal,,N,empieza,general,general,1,"Árbol que produce nueces.","Árbol de gran copa cuya semilla comestible es la nuez.","Especie arbórea apreciada tanto por su fruto como por su madera oscura.",Diccionario de la lengua española,https://dle.rae.es/nogal
