id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
general-fabrica,fábrica,fabrica,F,empieza,general,general,1,"Lugar donde se fabrican productos con máquinas y trabajadores.","Edificio industrial destinado a transformar materias primas o montar productos.","Establecimiento en el que se organiza una producción industrial a cierta escala.",Diccionario de la lengua española,https://dle.rae.es/fábrica
general-familia,familia,,F,empieza,general,general,1,"Grupo de personas unidas por parentesco.","Conjunto de personas relacionadas entre sí por vínculos de sangre o legales.","Unidad social cuyos integrantes comparten lazos de parentesco afinidad o adopción.",Diccionario de la lengua española,https://dle.rae.es/familia
general-fantasma,fantasma,,F,empieza,general,general,1,"Aparición de una persona muerta que algunas historias presentan como real.","Figura sobrenatural que se supone que manifiesta el espíritu de alguien fallecido.","Espectro cuya presencia imaginada o legendaria suele asociarse con lugares encantados.",Diccionario de la lengua española,https://dle.rae.es/fantasma
general-farmacia,farmacia,,F,empieza,general,general,1,"Lugar donde se preparan o venden medicamentos.","Establecimiento sanitario en el que se dispensan remedios y otros productos de salud.","Ciencia y actividad profesional vinculadas con la preparación conservación y dispensación de medicamentos.",Diccionario de la lengua española,https://dle.rae.es/farmacia
general-faro,faro,,F,empieza,general,general,1,"Torre con una luz que guía a los barcos.","Señal luminosa elevada que ayuda a la navegación cerca de costas o puertos.","Construcción marítima cuya luz periódica permite reconocer una costa y evitar peligros.",Diccionario de la lengua española,https://dle.rae.es/faro
general-fosforo,fósforo,fosforo,F,empieza,general,general,1,"Palito que al frotarlo produce una llama.","Cerilla con una cabeza inflamable que se enciende por fricción.","Nombre de un elemento químico y también del pequeño utensilio combustible usado para encender fuego.",Diccionario de la lengua española,https://dle.rae.es/fósforo
general-frontera,frontera,,F,empieza,general,general,1,"Límite que separa dos países o territorios.","Línea real o imaginaria que marca dónde termina un Estado y comienza otro.","Confín territorial sujeto habitualmente a controles de circulación y soberanía.",Diccionario de la lengua española,https://dle.rae.es/frontera
general-facha,facha,,F,empieza,general,lunfardo|argentinismo,1,"En el habla coloquial apariencia o aspecto de una persona.","Voz informal usada para referirse al aspecto exterior especialmente cuando alguien luce bien.","Término coloquial que puede aludir al semblante la figura o la buena presencia de alguien.",Diccionario de la lengua española,https://dle.rae.es/facha
general-galaxia,galaxia,,G,empieza,general,general,1,"Conjunto enorme de estrellas como la Vía Láctea.","Sistema formado por estrellas gas polvo y otros cuerpos unidos por la gravedad.","Estructura astronómica de gran escala cuyos componentes orbitan un centro común.",Diccionario de la lengua española,https://dle.rae.es/galaxia
general-galeria,galería,galeria,G,empieza,general,general,1,"Pasillo largo o lugar donde se exponen obras de arte.","Espacio cubierto que comunica distintas zonas o sala destinada a exhibiciones.","Recinto alargado que puede servir de tránsito de exposición o de paseo protegido.",Diccionario de la lengua española,https://dle.rae.es/galería
general-gallina,gallina,,G,empieza,general,general,1,"Ave doméstica que pone huevos.","Hembra adulta del gallo criada habitualmente por sus huevos y carne.","Ave galliforme domesticada desde antiguo cuya cría constituye parte de la avicultura.",Diccionario de la lengua española,https://dle.rae.es/gallina
general-garganta,garganta,,G,empieza,general,general,1,"Parte del cuello por donde pasan el aire y los alimentos.","Zona interior situada detrás de la boca que comunica con las vías respiratoria y digestiva.","Región anatómica que contiene la faringe y funciona como paso compartido antes de dos conductos.",Diccionario de la lengua española,https://dle.rae.es/garganta
general-girasol,girasol,,G,empieza,general,general,1,"Planta de gran flor amarilla que suele orientarse hacia el sol.","Planta de tallo alto cultivada por sus semillas y por el aceite que se obtiene de ellas.","Especie de la familia de las compuestas cuya gran cabezuela recuerda al astro que le da nombre.",Diccionario de la lengua española,https://dle.rae.es/girasol
general-globo,globo,,G,empieza,general,general,1,"Objeto de goma que se llena de aire y se usa en fiestas.","Recipiente flexible o aerostato que adopta una forma redondeada al contener gas.","Cuerpo aproximadamente esférico que según su tamaño puede decorar una fiesta o elevarse en la atmósfera.",Diccionario de la lengua española,https://dle.rae.es/globo
general-gil,gil,,G,empieza,general,lunfardo|argentinismo,1,"En Argentina persona ingenua o fácil de engañar.","Voz coloquial rioplatense aplicada a quien demuestra poca viveza.","Término popular que descalifica a alguien por su candidez o falta de habilidad.",Diccionario de la lengua española,https://dle.rae.es/gil
general-guita,guita,,G,empieza,general,lunfardo|argentinismo,1,"En el habla coloquial argentina dinero.","Voz rioplatense usada informalmente como sinónimo de plata o dinero.","Término popular que además de designar una cuerda puede referirse al medio de pago.",Diccionario de la lengua española,https://dle.rae.es/guita
general-hamaca,hamaca,,H,empieza,general,general,1,"Asiento colgante que se mueve hacia adelante y hacia atrás.","Tela o asiento suspendido por sus extremos que sirve para descansar o balancearse.","Objeto de origen americano que colgado entre dos apoyos puede funcionar como cama o columpio.",Diccionario de la lengua española,https://dle.rae.es/hamaca
general-harina,harina,,H,empieza,general,general,1,"Polvo que se obtiene al moler cereales y se usa para hacer pan.","Producto fino resultante de triturar trigo u otros granos.","Materia pulverulenta obtenida por molienda y base habitual de masas alimentarias.",Diccionario de la lengua española,https://dle.rae.es/harina
general-helado,helado,,H,empieza,general,general,1,"Postre frío y dulce que suele hacerse con leche o frutas.","Alimento congelado de textura cremosa preparado en diversos sabores.","Preparación que se consume congelada y cuya mezcla se bate para limitar la formación de cristales.",Diccionario de la lengua española,https://dle.rae.es/helado
general-herramienta,herramienta,,H,empieza,general,general,1,"Objeto que se usa con las manos para realizar un trabajo.","Instrumento diseñado para facilitar una tarea manual o técnica.","Útil que transmite o amplía la acción humana al cortar ajustar golpear o medir.",Diccionario de la lengua española,https://dle.rae.es/herramienta
general-hiedra,hiedra,,H,empieza,general,general,1,"Planta trepadora de hojas verdes que cubre muros y árboles.","Vegetal de tallos largos que se fija a superficies mediante pequeñas raíces.","Enredadera perenne capaz de tapizar soportes verticales sin ser un parásito.",Diccionario de la lengua española,https://dle.rae.es/hiedra
