answer,letter,relation,categories,sourceUrl
Macedonia,M,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/macedonia/
madero,M,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/madero/
maná,M,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/mana/
mediador,M,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/mediador/
Mesías,M,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/mesias/
milagros,M,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/milagros/
mirra,M,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/mirra/
mundo,M,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/mundo/
nardo,N,contiene,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/nardo/
Nazareno,N,contiene,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/nazareno/
nazareo,N,contiene,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/nazareo/
nefilim,N,contiene,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/nefilim/
nehilot,N,contiene,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/nehilot/
netineos,N,contiene,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/netineos/
nisán,N,contiene,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/nisan/
pan de la presencia,N,contiene,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/pan-de-la-presencia/
año,Ñ,contiene,perspicacia-biblica,https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/A%C3%B1o/
caña,Ñ,contiene,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/cana/
compañía mixta,Ñ,contiene,perspicacia-biblica,https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Compa%C3%B1%C3%ADa-mixta/
enseñanza,Ñ,contiene,perspicacia-biblica,https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Ense%C3%B1anza/
matrimonio de cuñado,Ñ,contiene,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/matrimonio-de-cunado/
rebaño,Ñ,contiene,perspicacia-biblica,https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Reba%C3%B1o/
señal,Ñ,contiene,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/senal/
sueños,Ñ,contiene,perspicacia-biblica,https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Sue%C3%B1os/
odre,O,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/odre/
ofrenda de agradecimiento,O,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/ofrenda-de-agradecimiento/
ofrenda de paz,O,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/ofrenda-de-paz/
ofrenda de voto,O,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/ofrenda-de-voto/
ofrenda mecida,O,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/ofrenda-mecida/
olíbano,O,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/olibano/
omer,O,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/omer/
ónice,O,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/onice-onix/
pacto,P,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/pacto/
paraíso,P,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/paraiso/
Pascua,P,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/pascua/
pecado,P,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/pecar-pecado/
Pentecostés,P,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/pentecostes/
presencia,P,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/presencia/
profecía,P,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/profecia/
profeta,P,empieza,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/profeta/
querubín,Q,contiene,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/querubin/
Qumrán,Q,contiene,glosario-biblico,https://www.jw.org/es/biblioteca/libros/glosario-biblia/qumran/
Eqrón,Q,contiene,perspicacia-biblica,https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Eqr%C3%B3n/
Équer,Q,contiene,perspicacia-biblica,https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/%C3%89quer/
equipaje,Q,contiene,perspicacia-biblica,https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Equipaje/
Ezequías,Q,contiene,perspicacia-biblica,https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Ezequ%C3%ADas/
Ezequiel,Q,contiene,perspicacia-biblica,https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Ezequiel/
Melquisedec,Q,contiene,perspicacia-biblica,https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Melquisedec/
