id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueInfantil,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-infantil-fuego,fuego,,F,empieza,teocratico,relato-biblico-infantil,1,"Lo que cayó del cielo sobre Sodoma y Gomorra.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/3/acuerdate-esposa-lot/
teocratico-infantil-foso,foso,hoyo,F,empieza,teocratico,relato-biblico-infantil,1,"Lugar profundo donde encerraron a Daniel con animales salvajes.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/10/daniel-hoyo-leones/
teocratico-infantil-gabriel,Gabriel,,G,empieza,teocratico,relato-biblico-infantil,1,"Ángel que anunció a María que tendría un hijo especial.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/11/angel-gabriel-visita-maria/
teocratico-infantil-gedeon,Gedeón,,G,empieza,teocratico,relato-biblico-infantil,1,"Siervo de Dios que venció con solo trescientos soldados.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/6/gedeon-madianitas/
teocratico-infantil-gigante,gigante,,G,empieza,teocratico,relato-biblico-infantil,1,"Hombre de tamaño enorme, como el guerrero vencido por David.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/7/david-goliat/
teocratico-infantil-goliat,Goliat,,G,empieza,teocratico,relato-biblico-infantil,1,"Guerrero enorme que David venció con una piedra.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/7/david-goliat/
teocratico-infantil-gran-pez,gran pez,pez grande,G,empieza,teocratico,relato-biblico-infantil,1,"Animal marino que se tragó al profeta Jonás.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/9/jonas/
teocratico-infantil-hambre,hambre,,H,empieza,teocratico,relato-biblico-infantil,1,"Falta de alimentos que José anunció para Egipto.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/4/suenos-faraon/
teocratico-infantil-hermanos,hermanos,,H,empieza,teocratico,relato-biblico-infantil,1,"Familiares de José que lo vendieron como esclavo.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/4/jose/
teocratico-infantil-honda,honda,,H,empieza,teocratico,relato-biblico-infantil,1,"Tira usada por David para lanzar una piedra.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/7/david-goliat/
teocratico-infantil-horno,horno,,H,empieza,teocratico,relato-biblico-infantil,1,"Lugar ardiente donde arrojaron a tres jóvenes fieles.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/10/sadrac-mesac-abednego/
teocratico-infantil-hoyo-leones,hoyo de los leones,foso de los leones,H,empieza,teocratico,relato-biblico-infantil,1,"Lugar donde Daniel pasó una noche protegido por Dios.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/10/daniel-hoyo-leones/
teocratico-infantil-idiomas,idiomas,lenguas,I,empieza,teocratico,relato-biblico-infantil,1,"Formas distintas de hablar que aparecieron en Babel.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/3/torre-babel/
teocratico-infantil-imagen,imagen,estatua,I,empieza,teocratico,relato-biblico-infantil,1,"Figura de oro que los israelitas adoraron en el desierto.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/5/moises-diez-mandamientos-becerro-oro/
teocratico-infantil-insectos,insectos,,I,empieza,teocratico,relato-biblico-infantil,1,"Animales pequeños que aparecieron durante las plagas de Egipto.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/4/egipto-plagas-1-2-3/
teocratico-infantil-isaac,Isaac,,I,empieza,teocratico,relato-biblico-infantil,1,"Hijo prometido que tuvieron Abrahán y Sara cuando eran mayores.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/3/isaac-ismael/
teocratico-infantil-ismael,Ismael,,I,empieza,teocratico,relato-biblico-infantil,1,"Hijo de Abrahán y Agar, protegido por Dios.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/3/isaac-ismael/
teocratico-infantil-jesus,Jesús,,J,empieza,teocratico,relato-biblico-infantil,1,"Hijo de Dios que vino a enseñar y salvar personas.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/11/joven-jesus-templo/
teocratico-infantil-jonas,Jonás,,J,empieza,teocratico,relato-biblico-infantil,1,"Profeta que pasó tres días dentro de un animal marino.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/9/jonas/
teocratico-infantil-jose,José,,J,empieza,teocratico,relato-biblico-infantil,1,"Hijo de Jacob que llegó a gobernar en Egipto.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/4/jose/
teocratico-infantil-lago,lago,,L,empieza,teocratico,relato-biblico-infantil,1,"Gran extensión de agua sobre la que caminó Jesús.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/12/jesus-camina-sobre-agua/
teocratico-infantil-leones,leones,león,L,empieza,teocratico,relato-biblico-infantil,1,"Animales salvajes que no lastimaron al fiel Daniel.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/10/daniel-hoyo-leones/
teocratico-infantil-lluvia,lluvia,,L,empieza,teocratico,relato-biblico-infantil,1,"Agua que cayó durante cuarenta días en tiempos de Noé.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/2/noe-familia-sobreviven/
teocratico-infantil-luz,luz,,L,empieza,teocratico,relato-biblico-infantil,1,"Lo primero que Dios hizo aparecer sobre la Tierra.",,,,Lecciones que aprendo de la Biblia,https://www.jw.org/es/biblioteca/libros/lecciones-historias-biblia/1/dios-hace-cielo-tierra/
