id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
general-examen,examen,,X,contiene,general,general,1,"Prueba que se hace para evaluar conocimientos o capacidades.","Evaluación compuesta por preguntas o ejercicios que permite comprobar lo aprendido.","Procedimiento de comprobación cuyo resultado puede determinar una calificación o un diagnóstico.",Diccionario de la lengua española,https://dle.rae.es/examen
general-exito,éxito,exito,X,contiene,general,general,1,"Resultado feliz de una acción o proyecto.","Buena aceptación o logro de aquello que se había intentado.","Desenlace favorable que acredita el cumplimiento de un propósito.",Diccionario de la lengua española,https://dle.rae.es/éxito
general-exacto,exacto,,X,contiene,general,general,1,"Que coincide completamente con la realidad o la medida.","Dicho de un dato o cálculo que no contiene error ni aproximación.","Que se ajusta con rigor a un modelo una cantidad o un hecho.",Diccionario de la lengua española,https://dle.rae.es/exacto
general-texto,texto,,X,contiene,general,general,1,"Conjunto de palabras escritas que forman un mensaje.","Enunciado o grupo coherente de enunciados fijados por escrito.","Unidad lingüística de extensión variable cuya organización comunica un sentido completo.",Diccionario de la lengua española,https://dle.rae.es/texto
general-taxi,taxi,,X,contiene,general,general,1,"Automóvil con conductor que transporta pasajeros a cambio de dinero.","Vehículo de alquiler provisto normalmente de un aparato que calcula la tarifa.","Servicio urbano de transporte individual cuyo importe depende del trayecto realizado.",Diccionario de la lengua española,https://dle.rae.es/taxi
general-oxigeno,oxígeno,oxigeno,X,contiene,general,general,1,"Gas del aire que necesitan las personas y muchos seres vivos para respirar.","Elemento químico gaseoso esencial para la respiración y la combustión.","Elemento de número atómico ocho que constituye aproximadamente una quinta parte de la atmósfera.",Diccionario de la lengua española,https://dle.rae.es/oxígeno
general-proximo,próximo,proximo,X,contiene,general,general,1,"Que está cerca en el espacio o en el tiempo.","Que se encuentra a poca distancia o que sucederá inmediatamente después.","Adjetivo aplicado a aquello cuya separación respecto de una referencia es reducida.",Diccionario de la lengua española,https://dle.rae.es/próximo
general-exterior,exterior,,X,contiene,general,general,1,"Que está o sucede fuera de algo.","Parte o superficie visible que rodea por fuera un objeto o lugar.","Ámbito opuesto al interior y situado más allá de un límite determinado.",Diccionario de la lengua española,https://dle.rae.es/exterior
general-yacare,yacaré,yacare,Y,empieza,general,argentinismo,1,"Caimán que vive en ríos y pantanos de Sudamérica.","Reptil americano parecido al cocodrilo y frecuente en zonas húmedas del nordeste argentino.","Nombre de origen guaraní aplicado en el Río de la Plata a varios aligatóridos.",Diccionario de la lengua española,https://dle.rae.es/yacaré
general-yacimiento,yacimiento,,Y,empieza,general,general,1,"Lugar donde se encuentra naturalmente un mineral petróleo o restos antiguos.","Concentración natural de materiales aprovechables o de vestigios arqueológicos.","Depósito localizado en el subsuelo cuya riqueza geológica o histórica permite su estudio o explotación.",Diccionario de la lengua española,https://dle.rae.es/yacimiento
