id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-idolatria,idolatría,ídolo,I,empieza,teocratico,glosario-biblico,1,"Adoración o veneración que se da a imágenes, objetos o dioses falsos.","Práctica que atribuye devoción religiosa a algo o alguien distinto del Dios verdadero.","Culto condenado en las Escrituras que puede dirigirse incluso a personas, riquezas o instituciones.",Glosario bíblico de JW.ORG,https://www.jw.org/es/biblioteca/libros/glosario-biblia/idolo-idolatria/
teocratico-ilirico,Ilírico,,I,empieza,teocratico,glosario-biblico,1,"Provincia romana situada al noroeste de Macedonia que Pablo mencionó al describir el alcance de su predicación.","Región balcánica de la época romana vinculada al límite de los viajes evangelizadores de Pablo.","Territorio romano de la costa oriental del Adriático citado en Romanos 15:19.",Glosario bíblico de JW.ORG,https://www.jw.org/es/biblioteca/libros/glosario-biblia/ilirico/
teocratico-imponer-las-manos,imponer las manos,imposición de manos,I,empieza,teocratico,glosario-biblico,1,"Acción de colocar las manos sobre alguien para nombrarlo, bendecirlo o transmitirle un don.","Gesto bíblico usado al efectuar ciertos nombramientos o al conceder una bendición.","Acto simbólico que no debía realizarse apresuradamente al reconocer responsabilidades espirituales.",Glosario bíblico de JW.ORG,https://www.jw.org/es/biblioteca/libros/glosario-biblia/imponer-las-manos/
teocratico-impuro,impuro,inmundo,I,empieza,teocratico,glosario-biblico,1,"Persona o cosa que no se considera limpia o aceptable según las normas bíblicas.","Condición que podía ser física, ceremonial o moral bajo la Ley mosaica.","Calificación aplicada a lo contaminado o incompatible con la santidad requerida para la adoración.",Glosario bíblico de JW.ORG,https://www.jw.org/es/biblioteca/libros/glosario-biblia/impuro/
teocratico-incienso,incienso,,I,empieza,teocratico,glosario-biblico,1,"Sustancia aromática que se quemaba en el tabernáculo y el templo.","Mezcla perfumada reservada para ofrecer humo fragante en la adoración israelita.","Preparado sagrado cuya fórmula no debía copiarse para uso personal.",Glosario bíblico de JW.ORG,https://www.jw.org/es/biblioteca/libros/glosario-biblia/incienso/
teocratico-incircunciso,incircunciso,no circuncidado,I,empieza,teocratico,glosario-biblico,1,"Varón al que no se le ha quitado el prepucio mediante la circuncisión.","Designación que los judíos aplicaban con frecuencia a personas ajenas a su pacto.","Término físico usado también en sentido figurado para indicar falta de receptividad espiritual.",Glosario bíblico de JW.ORG,https://www.jw.org/es/biblioteca/libros/glosario-biblia/incircunciso/
teocratico-inmoralidad-sexual,inmoralidad sexual,fornicación,I,empieza,teocratico,glosario-biblico,1,"Relaciones sexuales prohibidas por las normas morales de la Biblia.","Expresión que abarca diversas conductas sexuales ilícitas fuera del matrimonio bíblico.","Traducción de pornéia, término griego de amplio alcance para actos sexuales condenados.",Glosario bíblico de JW.ORG,https://www.jw.org/es/biblioteca/libros/glosario-biblia/inmoralidad-sexual/
teocratico-israel,Israel,,I,empieza,teocratico,glosario-biblico,1,"Nombre que Dios le dio a Jacob y que después identificó a sus descendientes.","Designación tanto de un patriarca como de la nación formada por las doce tribus.","Nombre recibido tras luchar con un ángel y usado luego con sentidos nacional y espiritual.",Glosario bíblico de JW.ORG,https://www.jw.org/es/biblioteca/libros/glosario-biblia/israel/
teocratico-jacob,Jacob,,J,empieza,teocratico,glosario-biblico,1,"Hijo de Isaac y padre de los doce hijos que originaron las tribus de Israel.","Patriarca gemelo de Esaú cuyo nombre fue cambiado por Dios.","Nieto de Abrahán que compró la primogenitura y recibió la bendición paterna.",Glosario bíblico de JW.ORG,https://www.jw.org/es/biblioteca/libros/glosario-biblia/jacob/
teocratico-jedutun,Jedutún,,J,empieza,teocratico,glosario-biblico,1,"Nombre que aparece en los encabezamientos de los Salmos 39, 62 y 77.","Término posiblemente relacionado con un músico levita, un estilo o un instrumento musical.","Indicación de significado incierto presente en tres sobrescritos del Salterio.",Glosario bíblico de JW.ORG,https://www.jw.org/es/biblioteca/libros/glosario-biblia/jedutun/
