id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
teocratico-rahab,Rahab,,R,empieza,teocratico,glosario-biblico,1,"Nombre simbólico de un monstruo marino que en algunos textos representa a Egipto.","Figura poética mencionada en Job, Salmos e Isaías y asociada con el mar y con Egipto.","Designación figurada distinta de la mujer del libro de Josué.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/rahab/
teocratico-rebusca,rebusca,,R,empieza,teocratico,glosario-biblico,1,"Acción de recoger lo que queda en un campo después de la cosecha.","Práctica que la Ley permitía a pobres, extranjeros, huérfanos y viudas.","Labor de aprovechamiento protegida por la Ley mosaica en las orillas de los campos.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/rebusca/
teocratico-recomprador,recomprador,,R,empieza,teocratico,glosario-biblico,1,"Pariente varón con el derecho y deber de recuperar bienes o libertad de un familiar.","En la Ley mosaica, familiar cercano que podía rescatar una herencia vendida.","Función jurídica familiar que protegía nombre, propiedad y descendencia en Israel.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/recomprador/
teocratico-recordatorio,recordatorio,,R,empieza,teocratico,glosario-biblico,1,"Aviso o señal que ayuda a tener presente algo importante.","Elemento que hace volver a la memoria una instrucción o un hecho.","Medio empleado para impedir que una obligación significativa caiga en el olvido.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/recordatorio/
teocratico-reina-del-cielo,Reina del Cielo,,R,empieza,teocratico,glosario-biblico,1,"Título de una diosa falsa a la que algunos israelitas ofrecieron sacrificios.","Nombre dado a una divinidad femenina venerada de manera apóstata en tiempos bíblicos.","Título pagano denunciado por Jeremías entre quienes hacían tortas y ofrendas.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/reina-del-cielo/
teocratico-reino,reino,,R,empieza,teocratico,glosario-biblico,1,"Gobierno encabezado por un rey o territorio bajo su autoridad.","Forma de gobierno en la que un monarca ejerce soberanía.","Dominio que puede referirse tanto a la autoridad real como a sus súbditos y territorio.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/reino/
teocratico-reino-de-dios,Reino de Dios,Reino de los cielos,R,empieza,teocratico,glosario-biblico,1,"Gobierno celestial establecido por Jehová y encabezado por Jesucristo.","Administración divina que cumplirá el propósito de Jehová para la Tierra.","Gobierno mesiánico por el que Jesús enseñó a orar a sus discípulos.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/reino-de-dios/
teocratico-rescate,rescate,,R,empieza,teocratico,glosario-biblico,1,"Precio pagado para liberar a alguien de cautiverio, castigo o pecado.","Medio por el que la vida de Jesús libera a la humanidad obediente.","Valor correspondiente que compensa lo perdido por Adán.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/rescate/
teocratico-sabado,sábado,sabbat,S,empieza,teocratico,glosario-biblico,1,"Séptimo día de la semana judía, reservado por la Ley para descansar.","Periodo sagrado que iba desde la puesta del sol del viernes hasta la del día siguiente.","Jornada cuyo nombre hebreo transmite la idea de cesar o descansar.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/sabado/
teocratico-sacerdote,sacerdote,,S,empieza,teocratico,glosario-biblico,1,"Hombre autorizado para representar al pueblo ante Dios y ofrecer sacrificios.","Servidor religioso que desempeñaba funciones sagradas en el tabernáculo o el templo.","Oficiante que mediaba ceremonialmente y enseñaba la Ley en Israel.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/sacerdote/
teocratico-sacrificio,sacrificio,,S,empieza,teocratico,glosario-biblico,1,"Ofrenda presentada a Dios, a menudo sobre un altar.","Dádiva animal o vegetal entregada en adoración, agradecimiento o expiación.","Acto ritual cuyo valor podía ser propiciatorio, comunitario o de gratitud.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/sacrificio/
teocratico-saduceos,saduceos,saduceo,S,empieza,teocratico,glosario-biblico,1,"Secta judía del tiempo de Jesús que negaba la resurrección.","Grupo religioso asociado con personas ricas y sacerdotes, contrario a los fariseos en varias doctrinas.","Partido influyente que no aceptaba la existencia de ángeles ni la vuelta de los muertos a la vida.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/saduceos/
teocratico-salmo,salmo,,S,empieza,teocratico,glosario-biblico,1,"Canción sagrada de alabanza incluida en las Escrituras.","Composición poética que podía cantarse con acompañamiento musical en la adoración.","Pieza lírica cuyo nombre griego se relaciona con pulsar cuerdas.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/salmo/
teocratico-sanedrin,Sanedrín,Gran Sanedrín,S,empieza,teocratico,glosario-biblico,1,"Tribunal supremo judío con sede en Jerusalén.","Consejo de ancianos, sacerdotes principales y escribas que juzgaba asuntos importantes.","Órgano de 71 miembros presidido por el sumo sacerdote en tiempos de Jesús.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/sanedrin/
teocratico-santificar,santificar,,S,empieza,teocratico,glosario-biblico,1,"Hacer santo o separar algo para el servicio de Dios.","Tratar una persona, objeto o nombre como sagrado y limpio.","Apartar de usos comunes para dedicar a un propósito divino.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/santificar/
teocratico-satanas,Satanás,Diablo,S,empieza,teocratico,glosario-biblico,1,"Nombre que significa opositor y se aplica al principal enemigo de Dios.","Ser espiritual que se rebeló contra Jehová y engañó a Eva.","Designación hebrea del adversario que también recibe un título griego relacionado con la calumnia.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/satanas/
teocratico-tabernaculo,tabernáculo,tienda sagrada,T,empieza,teocratico,glosario-biblico,1,"Tienda portátil donde Israel adoraba a Jehová antes de construirse el templo.","Santuario desmontable levantado según el modelo dado a Moisés.","Centro de adoración móvil que contenía los compartimientos Santo y Santísimo.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/tabernaculo/
teocratico-talento,talento,,T,empieza,teocratico,glosario-biblico,1,"La mayor unidad bíblica de peso y de dinero.","Medida antigua equivalente a unos 34 kilos en el sistema hebreo.","Unidad de gran valor mencionada tanto en transacciones como en ilustraciones de Jesús.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/talento/
teocratico-tamo,tamo,,T,empieza,teocratico,glosario-biblico,1,"Cáscara y restos ligeros que se separan del grano al aventarlo.","Desecho vegetal que el viento se lleva durante la trilla.","Imagen bíblica de algo liviano, inútil y fácilmente dispersado.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/tamo/
teocratico-tamuz,tamuz,,T,empieza,teocratico,glosario-biblico,1,"Nombre del cuarto mes del calendario sagrado judío.","Mes que corresponde aproximadamente a junio y julio.","Periodo del calendario posterior al destierro cuyo nombre también pertenecía a una deidad babilónica.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/tamuz/
teocratico-tartaro,Tártaro,,T,empieza,teocratico,glosario-biblico,1,"Condición degradada de los ángeles desobedientes mencionada en 2 Pedro.","Estado de profunda oscuridad espiritual al que fueron arrojados seres celestiales rebeldes.","Único término griego de 2 Pedro 2:4 relacionado con una prisión figurada.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/tartaro/
teocratico-templo,templo,,T,empieza,teocratico,glosario-biblico,1,"Edificio permanente de adoración a Jehová que reemplazó al tabernáculo.","Santuario de Jerusalén que incluía patios y los compartimientos Santo y Santísimo.","Casa de adoración construida primero por Salomón y reconstruida después del destierro.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/templo/
teocratico-terafim,terafim,ídolos domésticos,T,empieza,teocratico,glosario-biblico,1,"Imágenes familiares usadas a veces para adivinación.","Representaciones de dioses del hogar que podían tener valor religioso o legal.","Objetos que Raquel robó a Labán y que también se consultaban de forma supersticiosa.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/terafim/
teocratico-tetragramaton,Tetragrámaton,Tetragrama,T,empieza,teocratico,glosario-biblico,1,"Las cuatro letras hebreas que forman el nombre divino.","Conjunto consonántico representado en español por YHWH o JHVH.","Designación procedente del griego para la forma hebrea de cuatro caracteres del nombre de Dios.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/tetragramaton/
teocratico-ultimos-dias,últimos días,días finales,U,contiene,teocratico,glosario-biblico,1,"Periodo final que precede al fin de un sistema o etapa profetizada.","Expresión profética aplicada al tiempo de la presencia de Cristo y la conclusión del sistema.","Etapa señalada por acontecimientos que anuncian el cierre de una época.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/ultimos-dias/
teocratico-uncial,uncial,,U,contiene,teocratico,glosario-biblico,1,"Tipo de escritura antigua hecha con letras mayúsculas separadas.","Estilo empleado en importantes manuscritos griegos de la Biblia.","Grafía redondeada anterior al predominio de la minúscula cursiva en los códices.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/uncial/
teocratico-ungir,ungir,,U,contiene,teocratico,glosario-biblico,1,"Derramar o aplicar aceite sobre alguien para nombrarlo a un cargo.","Acto que simbolizaba la elección divina de reyes, sacerdotes o profetas.","Ceremonia de designación cuyo sentido figurado puede realizarse con espíritu santo.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/ungir/
teocratico-unigenito,unigénito,Hijo unigénito,U,contiene,teocratico,glosario-biblico,1,"Que es el único hijo producido directamente por su padre.","Título aplicado a Jesús por ser la única creación directa de Dios.","Término que destaca una relación filial única en su clase.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/unigenito/
teocratico-urdimbre,urdimbre,,U,contiene,teocratico,glosario-biblico,1,"Conjunto de hilos longitudinales colocados en un telar.","Hilos fijos entre los que se entrecruza la trama para formar una tela.","Parte longitudinal de un tejido mencionada en las normas sobre la lepra en prendas.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/urdimbre/
teocratico-urim-y-tumim,Urim y Tumim,,U,contiene,teocratico,glosario-biblico,1,"Objetos que llevaba el sumo sacerdote para conocer decisiones de Jehová.","Medios sagrados guardados en el pectoral y usados para obtener respuestas divinas.","Instrumentos cuyo nombre se ha relacionado con luces y perfecciones, aunque se desconoce su forma.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/urim-y-tumim/
teocratico-resurreccion,resurrección,,U,contiene,teocratico,glosario-biblico,1,"Acción de devolver la vida a una persona muerta.","Esperanza bíblica confirmada por el regreso de Jesús de entre los muertos.","Restablecimiento de la vida que puede ser celestial o terrestre.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/resurreccion/
teocratico-tumba,tumba,sepultura,U,contiene,teocratico,glosario-biblico,1,"Lugar donde se deposita el cuerpo de una persona muerta.","Sepulcro que en tiempos bíblicos podía ser una cueva natural o una cámara excavada.","Lugar de entierro individual que no debe confundirse necesariamente con el estado común de la humanidad muerta.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/tumba/
teocratico-version-armenia,versión armenia,traducción armenia,V,contiene,teocratico,glosario-biblico,1,"Antigua traducción de la Biblia al idioma de Armenia.","Testimonio textual iniciado en el siglo quinto tras crearse un nuevo alfabeto nacional.","Obra oriental cuyos numerosos manuscritos ayudan a comparar variantes bíblicas.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/version-armenia/
teocratico-vidente,vidente,,V,contiene,teocratico,glosario-biblico,1,"Persona a quien Dios permitía conocer su voluntad mediante visiones.","Nombre antiguo aplicado en ocasiones a un profeta.","Designación bíblica de quien recibía revelaciones que otros no podían percibir.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/vidente/
teocratico-voto,voto,,V,contiene,teocratico,glosario-biblico,1,"Promesa solemne y voluntaria hecha a Dios.","Compromiso sagrado que debía cumplirse una vez pronunciado.","Obligación autoimpuesta cuya seriedad subrayan la Ley y Eclesiastés.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/voto/
teocratico-vulgata,Vulgata,Vulgata latina,V,contiene,teocratico,glosario-biblico,1,"Traducción latina de la Biblia realizada principalmente por Jerónimo.","Versión de las Escrituras que llegó a ser la oficial de la Iglesia católica.","Texto latino concluido hacia el año 405 y muy influyente en Europa occidental.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/vulgata/
teocratico-aventar,aventar,,V,contiene,teocratico,glosario-biblico,1,"Lanzar al aire el grano trillado para separarlo de la paja.","Tarea agrícola que aprovecha el viento para apartar las partes ligeras de las semillas.","Operación posterior a la trilla usada en la Biblia como imagen de selección y juicio.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/aventar/
teocratico-levi,Leví,levita,V,contiene,teocratico,glosario-biblico,1,"Hijo de Jacob del que descendió la tribu dedicada al servicio sagrado.","Antepasado de la tribu israelita que ayudaba a los sacerdotes en el santuario.","Patriarca cuyo nombre pasó a identificar a quienes cuidaban funciones no sacerdotales del templo.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/levi-levita/
teocratico-devocion-a-dios,devoción a Dios,devoción piadosa,V,contiene,teocratico,glosario-biblico,1,"Profundo respeto y lealtad a Dios demostrados por la conducta.","Actitud reverente que mueve a vivir de acuerdo con la voluntad divina.","Cualidad que combina apego, veneración y obediencia al Creador.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/devocion-a-dios/
teocratico-evangelio,evangelio,,V,contiene,teocratico,glosario-biblico,1,"Término que significa buenas noticias, especialmente acerca de Jesús.","Nombre tradicional dado a los relatos bíblicos de Mateo, Marcos, Lucas y Juan.","Voz de origen griego aplicada tanto al mensaje cristiano como a cuatro narraciones canónicas.","Glosario bíblico de JW.ORG",https://www.jw.org/es/biblioteca/libros/glosario-biblia/evangelio/
teocratico-exodo,Éxodo,,X,contiene,teocratico,perspicacia-biblica,1,"Salida de los israelitas de Egipto bajo la dirección de Moisés.","Liberación histórica que comenzó después de la décima plaga y llevó al pueblo hacia el Sinaí.","Acontecimiento que dio nombre al segundo libro del Pentateuco y marcó el nacimiento de Israel como nación libre.","Perspicacia para comprender las Escrituras",https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/%C3%89xodo/
teocratico-expansion,expansión,firmamento,X,contiene,teocratico,perspicacia-biblica,1,"Extensión que según Génesis separó las aguas de arriba de las de abajo.","Espacio creado durante el segundo día creativo y relacionado con los cielos visibles.","Término hebreo que transmite la idea de algo extendido o batido hasta formar una superficie.","Perspicacia para comprender las Escrituras",https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Expansi%C3%B3n/
teocratico-expulsion,expulsión,excomunión,X,contiene,teocratico,perspicacia-biblica,1,"Medida de sacar de la congregación a quien practica sin arrepentirse un pecado grave.","Separación disciplinaria destinada a proteger la limpieza del pueblo de Dios.","Acción congregacional basada en el mandato de retirar al malvado de entre los fieles.","Perspicacia para comprender las Escrituras",https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Expulsi%C3%B3n/
teocratico-extorsion,extorsión,,X,contiene,teocratico,perspicacia-biblica,1,"Obtención de dinero o ventajas mediante amenazas, presión o abuso de poder.","Práctica condenada en la Biblia que consiste en arrancar algo a otra persona por coacción.","Forma de codicia violenta incompatible con heredar el Reino de Dios.","Perspicacia para comprender las Escrituras",https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Extorsi%C3%B3n/
teocratico-extranjero,extranjero,residente forastero,X,contiene,teocratico,perspicacia-biblica,1,"Persona que vive o se encuentra en un país que no es el suyo.","No israelita al que la Ley protegía de abusos y permitía residir entre el pueblo.","Forastero cuya vulnerabilidad debía recordar a Israel su propia estancia en Egipto.","Perspicacia para comprender las Escrituras",https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Extranjero/
teocratico-extrano,extraño,ajeno,X,contiene,teocratico,perspicacia-biblica,1,"Que pertenece a otro o no forma parte del grupo considerado.","Calificativo bíblico para una persona ajena, un dios falso o algo no autorizado.","Adjetivo que en contextos sacerdotales distingue lo profano o no prescrito de lo aprobado.","Perspicacia para comprender las Escrituras",https://www.jw.org/es/biblioteca/libros/Perspicacia-para-comprender-las-Escrituras/Extra%C3%B1o/
