id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
general-abeja,abeja,,A,empieza,general,general,1,"Insecto que produce miel y vive en colmenas.","Insecto social que recoge néctar y polen de las flores.","Himenóptero cuya labor favorece la polinización y puede terminar en miel.",Diccionario de la lengua española,https://dle.rae.es/abeja
general-abrazo,abrazo,,A,empieza,general,general,1,"Gesto de rodear a alguien con los brazos para mostrar afecto.","Muestra de cariño en la que una persona estrecha a otra entre sus brazos.","Contacto corporal que puede expresar afecto bienvenida consuelo o reconciliación.",Diccionario de la lengua española,https://dle.rae.es/abrazo
general-acantilado,acantilado,,A,empieza,general,general,1,"Costa o terreno con una caída alta y casi vertical.","Formación rocosa de gran pendiente frecuente junto al mar.","Accidente geográfico abrupto cuya pared cae casi verticalmente sobre una superficie inferior.",Diccionario de la lengua española,https://dle.rae.es/acantilado
general-aduana,aduana,,A,empieza,general,general,1,"Oficina que controla las mercancías que entran o salen de un país.","Organismo fronterizo que inspecciona productos y cobra ciertos derechos.","Administración encargada de fiscalizar el tránsito internacional de bienes y aplicar aranceles.",Diccionario de la lengua española,https://dle.rae.es/aduana
general-aljibe,aljibe,,A,empieza,general,general,1,"Depósito donde se guarda agua generalmente de lluvia.","Cisterna construida para recoger y conservar agua.","Recipiente subterráneo tradicional destinado a almacenar agua captada de tejados o patios.",Diccionario de la lengua española,https://dle.rae.es/aljibe
general-amanecer,amanecer,,A,empieza,general,general,1,"Momento en que comienza a aparecer la luz del día.","Transición entre la noche y el día cuando el cielo empieza a iluminarse.","Instante cotidiano en que la claridad solar antecede o acompaña la salida del Sol.",Diccionario de la lengua española,https://dle.rae.es/amanecer
general-afanar,afanar,,A,empieza,general,lunfardo|argentinismo,1,"En el habla coloquial argentina robar algo.","Voz informal rioplatense que puede usarse como sinónimo de robar.","Verbo popular que en una de sus acepciones regionales equivale a apoderarse de lo ajeno.",Diccionario de la lengua española,https://dle.rae.es/afanar
general-atorrante,atorrante,,A,empieza,general,lunfardo|argentinismo,1,"En Argentina persona vaga o que anda sin ocupación.","Voz rioplatense aplicada a alguien holgazán o de vida desordenada.","Adjetivo popular porteño que puede censurar la falta de oficio o una conducta poco formal.",Diccionario de la lengua española,https://dle.rae.es/atorrante
general-baldosa,baldosa,,B,empieza,general,general,1,"Pieza plana usada para cubrir pisos o paredes.","Placa de cerámica piedra u otro material empleada en revestimientos.","Elemento constructivo de poco grosor que repetido forma una superficie transitable o decorativa.",Diccionario de la lengua española,https://dle.rae.es/baldosa
general-biblioteca,biblioteca,,B,empieza,general,general,1,"Lugar donde se guardan y consultan libros.","Institución que organiza colecciones de libros y otros documentos para su consulta.","Espacio y servicio dedicado a conservar ordenar y facilitar el acceso al conocimiento registrado.",Diccionario de la lengua española,https://dle.rae.es/biblioteca
general-brujula,brújula,brujula,B,empieza,general,general,1,"Instrumento cuya aguja señala el norte.","Dispositivo de orientación que aprovecha el campo magnético terrestre.","Instrumento con una aguja imantada que permite determinar direcciones respecto de los polos.",Diccionario de la lengua española,https://dle.rae.es/brújula
general-burbuja,burbuja,,B,empieza,general,general,1,"Globo pequeño de aire dentro de un líquido.","Porción de gas rodeada por una película líquida.","Cavidad gaseosa de forma generalmente esférica encerrada en un medio líquido o sólido.",Diccionario de la lengua española,https://dle.rae.es/burbuja
general-barrilete,barrilete,,B,empieza,general,argentinismo,1,"En Argentina juguete de papel que vuela sujeto por un hilo.","Nombre rioplatense de la cometa que se eleva aprovechando el viento.","Armazón liviana cubierta de papel o tela que en el Río de la Plata remonta atada a un hilo.",Diccionario de la lengua española,https://dle.rae.es/barrilete
general-birome,birome,,B,empieza,general,argentinismo,1,"En Argentina bolígrafo para escribir con tinta.","Nombre usado en el Río de la Plata para el instrumento de escritura con una pequeña esfera.","Denominación regional nacida de la combinación de los apellidos de los inventores del bolígrafo.",Diccionario de la lengua española,https://dle.rae.es/birome
general-boliche,boliche,,B,empieza,general,lunfardo|argentinismo,1,"En Argentina local para bailar o tomar algo.","Voz rioplatense que suele designar una discoteca un bar o un comercio pequeño.","Término regional de significados diversos que en el uso urbano puede nombrar un local nocturno.",Diccionario de la lengua española,https://dle.rae.es/boliche
