id,answer,acceptedVariants,letter,relation,modes,categories,wordDifficulty,clueFacil,clueIntermedio,clueAvanzado,sourceName,sourceUrl
general-sabana,sábana,sabana,S,empieza,general,general,1,"Tela que se coloca sobre el colchón para cubrir la cama.","Pieza de lienzo que viste la cama y queda en contacto con quien duerme.","Cada uno de los paños que delimitan por arriba y por abajo el espacio destinado al descanso nocturno.",Diccionario de la lengua española,https://dle.rae.es/sábana
general-semaforo,semáforo,semaforo,S,empieza,general,general,1,"Aparato con luces de colores que ordena el tránsito.","Señal luminosa que regula el paso de vehículos y peatones.","Dispositivo de señalización vial cuya alternancia cromática concede o impide el avance.",Diccionario de la lengua española,https://dle.rae.es/semáforo
general-sendero,sendero,,S,empieza,general,general,1,"Camino estrecho que suele recorrerse a pie.","Senda pequeña formada en el campo o la montaña por el paso de personas o animales.","Vía angosta y generalmente no pavimentada que atraviesa un terreno natural.",Diccionario de la lengua española,https://dle.rae.es/sendero
general-serpiente,serpiente,,S,empieza,general,general,1,"Animal alargado y sin patas que se arrastra.","Reptil de cuerpo largo y cilíndrico que se desplaza mediante ondulaciones.","Ofidio cuya locomoción carece de extremidades y cuyo cuerpo está cubierto de escamas.",Diccionario de la lengua española,https://dle.rae.es/serpiente
general-silla,silla,,S,empieza,general,general,1,"Asiento con respaldo para una persona.","Mueble individual que normalmente tiene cuatro patas y sirve para sentarse.","Pieza de mobiliario provista de respaldo que sostiene a una sola persona en posición sedente.",Diccionario de la lengua española,https://dle.rae.es/silla
general-sombra,sombra,,S,empieza,general,general,1,"Zona oscura que produce un objeto al tapar la luz.","Imagen oscura proyectada sobre una superficie cuando un cuerpo bloquea una fuente luminosa.","Región de menor iluminación situada detrás de un cuerpo opaco respecto de la fuente de luz.",Diccionario de la lengua española,https://dle.rae.es/sombra
general-submarino,submarino,,S,empieza,general,general,1,"Barco capaz de navegar debajo del agua.","Embarcación diseñada para sumergirse y desplazarse bajo la superficie del mar.","Nave dotada de sistemas de inmersión y propulsión que le permiten operar a profundidad sin permanecer en la superficie.",Diccionario de la lengua española,https://dle.rae.es/submarino
general-subte,subte,,S,empieza,general,argentinismo,1,"En Argentina, tren que circula debajo de la ciudad.","Nombre argentino del ferrocarril metropolitano que recorre túneles bajo tierra.","Acortamiento rioplatense con el que se designa el transporte ferroviario urbano subterráneo.",Diccionario de la lengua española,https://dle.rae.es/subte
general-tambor,tambor,,T,empieza,general,general,1,"Instrumento musical que se golpea con las manos o baquetas.","Instrumento de percusión formado por una caja cilíndrica cubierta con una membrana tensa.","Membranófono cuyo sonido nace de la vibración de un parche extendido sobre una caja de resonancia.",Diccionario de la lengua española,https://dle.rae.es/tambor
general-teatro,teatro,,T,empieza,general,general,1,"Lugar donde se representan obras ante el público.","Edificio o sala con escenario destinado a espectáculos dramáticos.","Espacio escénico concebido para representar ante espectadores una acción mediante actores.",Diccionario de la lengua española,https://dle.rae.es/teatro
general-telefono,teléfono,telefono,T,empieza,general,general,1,"Aparato usado para hablar con alguien que está lejos.","Dispositivo que transmite voz y otros datos a distancia mediante una red.","Medio de telecomunicación que convierte el sonido en señales transmisibles y luego las restituye.",Diccionario de la lengua española,https://dle.rae.es/teléfono
general-tenedor,tenedor,,T,empieza,general,general,1,"Cubierto con dientes usado para pinchar comida.","Utensilio de mesa con un mango y varias púas para llevar alimentos a la boca.","Instrumento de mesa cuyos dientes paralelos permiten sujetar o separar porciones de alimento.",Diccionario de la lengua española,https://dle.rae.es/tenedor
general-tesoro,tesoro,,T,empieza,general,general,1,"Conjunto de objetos valiosos que suele estar escondido.","Riqueza de dinero, joyas u otros bienes guardada en un lugar seguro o secreto.","Acumulación de bienes preciosos cuyo valor o rareza motiva su custodia u ocultamiento.",Diccionario de la lengua española,https://dle.rae.es/tesoro
general-tunel,túnel,tunel,T,empieza,general,general,1,"Paso abierto bajo tierra o a través de una montaña.","Conducto subterráneo construido para que pasen vehículos, trenes o personas.","Obra excavada y cubierta que permite franquear un obstáculo sin atravesar su superficie.",Diccionario de la lengua española,https://dle.rae.es/túnel
general-tano,tano,,T,empieza,general,lunfardo|argentinismo,1,"En Argentina, manera coloquial de llamar a un italiano.","Apodo rioplatense aplicado a una persona nacida en Italia o de origen italiano.","Gentilicio popular argentino surgido por abreviación de napolitano y extendido a los italianos en general.",Diccionario de la lengua española,https://dle.rae.es/tano
